name	STL40001	STL50160	STL20014	STL10240	STL10562	STL50315	STL20316	STL11021	STL50425	STL40635	STL10896	STL40673	STL20497	STL20112	STL40455	STL10793	STL10956	STL20672	STL40720	STL50520	STL10191	STL20117	STL10877	STL40535	STL20481	STL40511	STL11080	STL40626	STL20539	STL40521	STL10860	STL40555	STL20522	STL40014	STL40593	STL20185	STL10458	STL11073	STL20276	STL10575	STL11057	STL11122	STL20136	STL40229	STL20378	STL40017	STL20644	STL20654	STL20630	STL40716	STL40691	STL20653	STL40701	STL20648	STL10603	STL20292	STL40244	STL10762	STL20184	STL11041	STL40554	STL40595	STL40066	STL40180	STL40437	STL40280	STL20461	STL40571	STL10915	STL40539	STL10884	STL11089	STL40487	STL40040	STL10705	STL10836	STL10590	STL10279	STL10263	STL20631	STL10811	STL11040	STL10126	STL10405	STL10177	STL10022	STL10180	STL40177	STL10037	STL10323	STL10504
cpd_159	422	835	2511	479	504	768	6580	480	628	668	3218	4149	958	1475	323	414	11848	3808	1809	6607	260	138978	1042	111248	454			303			3543		63		75				6852	51			4300		250	16				35		233	51			34		2812	4086			61	102	570			111	476					198	119						108	24512				269		376	65			
cpd_160	740312	425431	634630		80353		45476			1880389	12954	720451	670472	439341	949417	43432	1127	496275	591201	519800	111812	459753		424793	43589	8360213	12684	1685758	121900	1508687	249688	73871	785000		193324	259148	728151		126117	1087714			1237840	1241863	202805	386118	340501	186123	487297	913915	1102422	973134	2480650	1567079		926616	48088	880106	55824	78816	148246	185577	592859	98470	3848	364136	876112	852441	1167367	581267	626	1501222	797233	588424		237	264283	14803		984378	391070	85733	79785		1779910	5271	221581	345710	80206		
cpd_161	134160	151635	191592		347782	212597	340925		434720	417532	332072	418753	468470	94163	139171	248373	121594	312942	92243	84370	20936	95118	278884	150802	143264	3556182	955109	128802	320326	282650	149495	208087	333809	481438	39448	63104	633087	247389	43261	227652	124235	134132	1102354	837940	88566	48121	69008	162725	102683	46722	345132	149871	183131	323584	20495	281964	108817	641594	85380	432507	27620	43875	844110	60886	230156	399761	155488	470064	189127	299247	1168	418339	247797	513543	1046982	5399356	103292	238381	834116	498636	389910	122478	125121	5205	654493	226141	140740	214564	1922756	248660	351136
cpd_162	13160	45817	40776	69831	22954	39184	30845	3787	3053	5676	89985	85840	57625	4377	7733	33238	119827	8361	2187	4289	29611	96369	15519	5862	56342	35709	53041	34706	50436	69743	42208	71448	77231	397899	61632	1625876	45673	20799	73379	26227	38041	36833	21694	51237	38878	53212	14098	45084	11879	55556	3352	55983	10294	50723	16628	30386	42342	50355	87149	57531	22752	28820	31610	39958	47900	28580	36771	31510	179517	6533	79044	29995	42201	23435	34800	43265	7635	67731	60936	16873	77783	38499	68500	106223	61613	35373	31122	33792	20882	21292	262950
cpd_163	215025	657101	391215	46793	426290	663053	1338638	40787	252779	306493	810000	514815	505101	649964	704424	827669	217077	145109	483498	73565	252836	290387	900149	1182800	811205	119893	340753	634919	651609	330087	1494540	410640	105859	261153	1250482	18962	1579841	208796	257749	154733	890164	265149	336404	25958	344535	453393	107339	994720	371630	110100	587640	1669720	295186	2083993	688879	755095	485232	422489	494425	27289	208915	1245629	515847	276168	702619	1043893	371475	440654	386259	995466	534232	1079414	201629	862716	40094	28681	851153	1242380	459921	843779	486647	712725	385311	9415	932069	2018497	281837	352738	71176	101664	62456
cpd_164	64879	29839	38693	5386	14113	66651	25512	1216	2669	8640	15819	7223	9612	13851	8976	7009	6037	19143	9420	28116	2643	23439	17226	84092	24758	5539	11667	18146	31644	40734	21059	19476	28551	6489	11763	2178	40937	9150	6455	16546	22729	47306	14091	6007	75645	13589	4245	9691	18587	21573	15334	19762	29272	34474	11218	26308	27187	55063	44124	4532	4192	9713	33733	30939	5723	4683	13540	19930	18570	40016	22358	46495	29233	36422	1269		2460	11892	7708	31630	110825	108549	17934	5912	5974	45078	19158	31578	18105	29658	11998
cpd_165	17042	3642	15238	4538	5357	2414	11708	1038	29127	2886	1824	1211	4627	5421	2948	4867	1476	9768	4219	18177	5597	2831	16656	42235	9058	15400	12429	2319	23871	11693	15490	3666	2264	7777	4877	1757	14122	11415	723	5452	4538	13428	3903	9160	16040	7994	2703	3323	3021	2407	4496	14726	7099	15998	10844	5190	3734	15402	23056	9523	2265	4564	22708	9151	6842	13068	994	114648	35375	17267	5138	39302	671	9229	9090	2506	1205	9479	9954	10240	26634	34187	67209	4163	2289	10706	2705	11288	46991	14452	12268
cpd_166	8596857	8358326	7421614	14190433	10782706	12150163	7904927	21142688	19034401	14714074	7914481	9533280	10411912	8991439	9661366	8327101	6973750	11307670	9190897	9186990	20201119	11245720	11721619	8899912	10165471	18824952	11544548	14489099	16267762	13803507	13967880	15029022	13281258	14477074	10383592	24566948	17095756	17049832	8621492	12148258	17719241	29777505	12259233	17876051	10015185	11870912	21765035	15282844	28119288	12551079	17378628	11562470	14436422	13816965	22864684	13607679	12306892	9653509	24161766	22585500	17095437	12150870	16017204	10497082	15356201	18769469	14095112	15924586	24553873	12064119	11497169	20350159	13709229	21561678	21425886	149011455	17244201	13988002	15692488	16590673	9548806	20574081	13653854	39828793	18379673	10470543	13177060	11689648	15097248	25315258	19149497
cpd_167	34798	48367	72623	50311	124631	101842	53229	247336	57143	93904	66151	61849	187027	24127	40175	35517	29121	244481	26016	123968	110079	47105	59120	193997	24060	46022	23972	45385	54348	42671	135537	175692	40338	40299	32158	84785	56367	44846	63881	84630	43543	120698	58482	103847	70310	65943	101561	118542	210994	39098	119710	115228	54751	50387	87218	84832	16039	56499	117037	220719	104015	67900	109444	101925	223931	171205	72494	123947	161420	138987	37744	146208	257492	349247	187767		289244	217428	155693	207832	127881	362924	42888	125681	58826	42338	25262	69923	71327	104116	86117
cpd_168	32310	41628	105627	28816	78539	39411	70963	21655	27409	21021	53956	37061	23142	26070	22922	17968	117499	512694	65392	239676	27239	21164	29708	240076	67512	32678	7573	18022	13923	20100	255555	218480	53125	7820	56857	12200	39243	15172	43734	51128	20017	58584	19092	42588	46118	34256	28516	14888	18361	20007	74771	112200	77541	21042	16353	109333	20624	228976	34910	23600	105861	67460	42251	97371	20545	34573	14536	31517	32518	45464	12393	42049	77467	22414	12789		33196	17342	19137	29854	67149	253211	58764	35864	11432	37795	23655	96399	22875	15880	15739
