name	IPA_D0_2	IPA_D0_3	IPA_D3_1	IPA_D3_3	IPA_D3_4	IPA_D7_2	IPA_D7_4	IPA_D7_5	pbs_D0_2	pbs_D0_3	pbs_D0_5	pbs_D3_1	pbs_D3_4	pbs_D7_4	pbs_D7_5
Proser2	3.377988	2.14734	2.547467	1.560847	3.002839	2.157451	1.637393	2.090234	2.911517	4.256042	4.712487	2.265994	2.289327	2.30279	3.270831
Proser3	2.234496	2.906931	2.512349	1.548231	1.9134	1.139126	1.92163	1.594095	2.34122	2.575199	2.636427	2.740927	1.941899	1.144035	0.696453
Prox1	0.96917	1.166344	0.830529	0.498716	0.291065	0.289722	0.564593	0.903186	0.328477	0.69016	0.876351	0.702217	1.183137	0.840782	0.812692
Prox2	0.589993	0.770108	0.67912	0.817754	0.457296	0.410813	0.66362	0.892908	0.511711	0.662791	0.635255	0.875826	1.571427	1.374123	0.793311
Prox2os	1.013372	2.197871	1.590522	0.802159	1.181642	0.377096	0.928183	0.814716	1.241098	1.08497	1.1338	1.551871	1.499055	1.225576	0.612179
Proz	0.487782	0.662266	0.898376	0.779439	0.748236	1.109256	1.334293	0.942261	0.622671	0.648266	1.042643	0.7682	0.843128	1.130654	1.094355
Prpf18	8.684369	7.419597	7.50254	7.88269	6.787219	9.381941	5.61494	7.757766	7.651466	8.449863	7.188833	5.109545	8.368861	7.11165	8.868468
Prpf19	29.108543	23.391465	25.723977	26.847507	21.004225	29.412501	28.81415	32.856312	22.479582	29.958488	26.188058	19.969833	34.970855	22.336099	20.259638
Prpf3	6.749652	9.583756	7.814649	6.44528	7.562329	7.965962	10.411918	10.153797	6.128001	6.493993	8.656147	11.202262	7.435589	7.855059	7.628907
Prpf31	9.555175	8.966928	8.918279	8.862786	8.24459	11.126418	10.817635	12.034098	8.550756	10.186798	7.969254	8.342738	11.647694	8.537614	9.652082
Prpf38a	12.955822	5.191903	10.829769	8.68286	7.43919	19.633221	6.961507	11.183651	14.176115	16.073846	5.86176	4.297588	8.449625	8.5966	12.572251
Prpf38b	25.801787	29.674591	27.53041	19.97595	25.904002	23.403311	31.217887	32.209546	24.849424	24.89968	27.749692	44.752759	20.530763	28.081237	26.558328
Prpf39	12.284823	15.194182	12.753043	13.478058	13.051554	10.601477	14.414824	13.116851	8.194879	11.28756	12.426686	21.694394	14.769484	13.61152	12.248176
